1,Goodthreads Men's Standard-Fit Long-Sleeve Gingham Shirt,25,"This work- or weekend-perfect casual button-front shirt in gingham check features a special wash for a soft feel and maximum comfort. It is 100% Cotton. It is Imported, and machine washable. The sizing is Standard Fit: room in the chest, tapered through the waist for a tailored silhouette.",large,shirt
2,Buttoned Down Men's Slim Fit Button-Collar Sport Shirt,39,"This long-sleeve shirt features a button-down collar and rounded single-button cuffs. It is 100% Supima Cotton, is imported, and is machine washable. No pocket, straight back yoke without pleat. It comes with an Unconditional Satisfaction Guarantee. If you are not completely satisfied with your Buttoned Down shirt at any time, we are happy to give you a full refund._",medium,shirt
3,Quality Durables Co. Men's Chambray Button-Up Cabin Shirt,33.95,"This Indigo Stone Wash shirt is from Quality Durables Co. known for their casual lifestyle clothing, authentically washed and lived-in essentials, timeless denim and rugged workwear. It is a dark denim, long-sleeve shirt with fading at the collar and shoulders. It has button-through flap chest pockets. It has a rounded hem and single-button barrel cuffs. It is 100% cotton, imported, and machine washable. ",medium,shirt
4,H2H Mens Casual Slim Fit Raglan Baseball Three-Quarter Sleeve Henley T-Shirt,24.5,"This T-shirt is a fashion basic thanks to the contrast-colored, long raglan sleeves. The Henley style round neckline includes a three-button placket. It is 65% cotton/35% polyester. Garment Care: Hand Wash Recommended / Machine Wash Cold,Tumble Dry Low With Care. It is designed in Korea, and has a slim fit. ",large,shirt
5,LOCALMODE Men's 100% Cotton Long Sleeve Plaid Slim Fit Button Down Dress Shirt,20.99,"This fashion plaid, button-down designed shirt is concise and easy, fashionable elegance, convenient and practical, and reflects both individual character and sport function. It is suitable for sports, casual, business work, date, party, or as a perfect gift for families, friends and boyfriend. It is 100% high-grade cotton with excellent air permeability and moisture absorption. Handwash in cold water, low iron and tumble dry on low heat.",medium,shirt
6,Haggar Men's Hidden Expandable-Waist Plain-Front Pant,60,"Haggar Gabardine Pants are ideal for any situation and are crafted in a style, offering an array of core colors that are the staple to any man's closet. These ultra-comfortable go-to pants draw moisture away from your skin, and incorporate a hidden expandable waist for maximum comfort. With the Haggar Cool18 Gabardine Pants, you_ll be ready for anything. Great for casual, confident style_under any conditions.",large,pant
7,Izod Cool18 Men's Casual Pant,45,"The Cool18 collection combines classic Haggar styling with a revolutionary technology to enhance fabrics on a molecular level. The result? Fabric that resists wrinkles, wicks away moisture, and resists static without sacrificing comfort. Cool18_s unique comfort technology and easy-care fabrications make the tops, shorts and slacks must-haves on and off the course, even on the warmest of days. The Cool18 collection features a state-of-the-art fabric that meets Haggar's most demanding standards.",medium,pant
8,Lee Men's Total Freedom Relaxed Classic Fit Flat Front Pant,21.8,"This pant is a stain-repellant, no-iron dress pant with a flat front featuring side-seam pockets and button-through besom pockets at the seat. It is 75% Repreve Polyester and 25% Cotton. It is imported and machine washable. ",small,pant
9,adidas Men's Soccer Tiro 17 Pants,89.95,"Train hard. Stay cool. These men's football training pants help you warm up without overheating. Featuring ventilated climacool and mesh inserts for maximum breathability, they keep the air moving while you stay on the pitch. A slim fit promotes easy footwork.",medium,pant
10,Van Heusen Men's Flat Front Ultimate Traveler Pant,45.5,"Our adaptable Traveler Pants will get you to your destination _ and still look dapper when you arrive. Whether you_re catching the red eye flight, or taking some well-deserved PTO, they_re a necessity for those who like to travel in style.",large,pant
11,Levaca Womens Long Sleeve Button Cowl Neck Casual Slim Tunic Tops With Pockets,72.55,"Levaca's clothes are fresh, please give yourself a chance to be a topic woman.  Levaca Womens Long Sleeve Button Cowl Neck Casual Slim Tunic Tops With Pockets, in any single wear, or as a basic shirts,Have a good show in all seasons. Levaca thinks, choosing the right size of clothes, you put on will be more beautiful.",small,sweater
12,Lark & Ro Women's 100% Cashmere Boyfriend Cardigan Sweater,57,"Perfect for a chilly day, this boyfriend cardigan features a classic button placket and two front pockets. A touch of extra detail is added with ribbed-knit trims at the hem and sleeve cuffs.",medium,sweater
13,ZXZY Women Heart Pattern Patchwork Long Sleeve Round Neck Knits Sweater Pullover,19.99,"Women Heart Pattern Patchwork, Long Sleeve, Round Neck Knit Sweater Pullover. The material is a knit blend. ZXZY has never authorized anyone else to sell our brand items. ZXZY brand items have been matched/re-customized based on our customers' needs. ",large,sweater
14,Comfortably Collared Men's Perfect Slim Fit V-Neck Sweater,37.95,"This sweater features a shoulder seam designed to enhance physique appearance. It is 80% cotton and 20% nylon. It is lightweight and soft with s slim fit v-neck front. Machine wash cold, do not bleach, hang dry or tumble dry low.",medium,sweater
15,Lisli Women's Batwing Sleeve Loose Oversized Pullover Knitted Sweater,"13,99","This reasonably priced sweater is soft and wonderful for a rainy day. It flows nicely due to being 100% cotton, and the color is fantastic. Machine wash, cool setting to dry. ",large,sweater
16,1928 Jewelry Velvet Choker with Gold-Tone Pendant Necklace,44.5,"This necklace is Art Deco inspired. It_s lovely round filigree pendant sparkles from topaz-color crystals. Gold-tone pendant necklace featuring round-shape with topaz-color crystals accents It makes this necklace must have. Adjustable from 16"" to 19"" length",nosize,jewelry
17,"Silver Tone Sliced Dark Pink Agate Crystal Edged Pendant Necklace, 36""",27.95,"This necklace is a unique, crystal-edged agate on a beautiful, shiny satellite chain. The nature of each stone is that each piece is unique, and therefore stone shape and weight may vary slightly.",nosize,jewelry
18,"Kenneth Cole New York Gold and Abalone Pendant Necklace, 18"" + 3.5"" Extender",67,"This gorgeous, kenneth cole hand-designed and created necklace is a one of a kind. The color is unmatched and sure to please anyone who wears it. ",nosize,jewelry
19,Sorrelli Rustic Bloom Assorted Crystal and Semi Precious Pendant Necklace,54,"This lovely antiqued gold-tone plated brass necklace is handcrafted. It is adorned with crystal and synthetic elements. The chain has a lobster claw clasp, with and extender. Unparalleled design with a lifetime guarantee.",nosize,jewelry
20,House of Harlow 1960 Womens Sunburst Pendant Necklace,39.5,"This necklace is designed after a 1960_s type, gold tone plated pendant. It features a tree agate stone surrounded by a large sunburst. The effect in the sunlight is amazing and must be experienced to believe it. Everyone will love this one of a kind necklace pendant. ",nosize,jewelry
21,Pok‚mon Snorlax Bean Bag Chair,74.5,"In this world of nothing but go-go-go, we often feel like Snorlax is more our speed. It spends most of its time sleeping. It's not picky about leftovers, and it seldom exercises. Yep. Snorlax understands us.ÿ There's nowhere better to relax after a long day of work, school, or just being out and about than on your Pok‚mon Snorlax Bean Bag Chair. At 4 feet head to toe and over 2 feet across, this (s)lumbering Pok‚mon is perfect for your dorm room, your den, your bedroom, or right inside the door where you can collapse on it when you get in. Just remember not to block the road. It does not ship with a flute.",nosize,fun stuff
22,Star Trek TNG Bluetooth© ComBadge - Exclusive,13.99,"We've had a screen-accurate prop replica ST:TNG badge in our closet for a while. The only thing it was missing was the ability to emit the classic communicator chirp sound effect when we pressed it.ÿ And then we found out an audio company is making a fully-functioning officially-licensed communicator badge. Behold the Star Trek TNG Bluetooth© ComBadge. It hooks up to your phone or device via Bluetooth© and has a built-in microphone for hands-free calling. Once connected, one touch answers/ends calls, plays/pauses audio, or accesses Siri, Google Now, or Cortana. And, of course, a touch plays that classic communicator sound effect. Warning: you're going to want to keep the micro-USB charging cable handy right after you receive this, because making it chirp is well-nigh irresistible.ÿ And don't forget to sign off, ""[Your name here] out.""",nosize,fun stuff
23,Star Wars Skywalker Rebel Leader Ladies' Jacket,112.9,"Keep yourself *ahem* lukewarm in this Skywalker Rebel Leader Jacket modeled after Luke Skywalker's Bespin fatigues from The Empire Strikes Back. You don't even have to be self-conscious about popping the collar, because you don't have a choice.ÿ100% cotton, it features a storm flap that closes over the full-length zipper. It also has an interchangeable badge system and comes with 2 rubber badges to start you off: an Alliance Starbird and an X-Wing from above. The inside satin lining features a ÿprint of an X-Wing schematic, and a unique serialized number on a little metal tag near the interior pocket. Which zips shut. And will probably hold your phone (it's 6"" square).",nosize,fun stuff
24,Love is King Necklace,68.44,"You learn the neatest things in this job. For instance, the proverb ""Love rules his kingdom without a sword"" engraved on the back of this pendant set was recorded by George Herbert, a contemporary of Shakespeare and whose godfather was John Donne, in 1640. He collected over 1000 aphorisms in his book Outlandish Proverbs, ""outlandish"" meaning at the time ""foreign."" Beyond that, it's hard to establish provenance, so we're just going to go back 375 years, if that's okay with you.ÿSo now you know what the back of this Love is King Necklace set looks like. The front is a heart pierced with a sword. The trick is that the two separate. The heart hangs from a satin ribbon. The sword hangs from a black chain. One pendant for you. One pendant for whomever has conquered your heart. The message is only readable when the two are joined as one. All together now: awwwww.",nosize,fun stuff
25,Coeur Sauvage Necklace Pendant,71,"You've probably seen commercials for the new ""Hearts On Fire"" diamond, which is a cutting technique that makes gems even more insanely sparkly than they already are. But to describe them as ""on fire?"" That seems... excessive. Super sparkly and reflective, yes. And we could grant them ""on fire"" if you're going to do science with your diamond to refract the light to a single point. Which we can totally see you doing.ÿBut there's a simpler way to set a heart on fire, and it's this: dragons. This necklace portrays a light and dark dragon, tails entwined, a red Swarovski crystal (read: super-sparkly) heart held between them. Hanging from a 21"" split chain, the pendant represents the joining of two into one, the duality of nature, the feeling of elation like flight that you have when you're in love, and, uh, dragons. Because they're awesome.",nosize,fun stuff
